Time,Tissue,Taxon,Treatment,n_shrimp,n_pos,freq,prevalence_pct,n_missing,n_pos_observed
DOC28,Gut,Ruegeria profundi,F25,5,5,1,100.0,0,5
DOC28,Gut,Ruegeria profundi,F35,5,3,0.6,60.0,0,3
DOC28,Gut,Ruegeria profundi,F50,5,5,1,100.0,0,5
DOC28,Gut,Vibrio brasiliensis,F0,5,4,0.8,80.0,0,4
DOC28,Gut,Vibrio brasiliensis,F15,5,4,0.8,80.0,0,4
DOC28,Gut,Vibrio brasiliensis,F25,5,1,0.2,20.0,0,1
DOC28,Gut,Vibrio brasiliensis,F35,5,1,0.2,20.0,0,1
DOC28,Gut,Vibrio brasiliensis,F50,5,3,0.6,60.0,0,3
DOC28,Gut,Vibrio jasicida,F0,5,3,0.6,60.0,0,3
DOC28,Gut,Vibrio jasicida,F15,5,5,1,100.0,0,5
DOC28,Gut,Vibrio jasicida,F25,5,3,0.6,60.0,0,3
DOC28,Gut,Vibrio jasicida,F35,5,3,0.6,60.0,0,3
DOC28,Gut,Vibrio jasicida,F50,5,2,0.4,40.0,0,2
DOC28,Gut,Vibrio owensii,F0,5,5,1,100.0,0,5
DOC28,Gut,Vibrio owensii,F15,5,5,1,100.0,0,5
DOC28,Gut,Vibrio owensii,F25,5,5,1,100.0,0,5
DOC28,Gut,Vibrio owensii,F35,5,4,0.8,80.0,0,4
DOC28,Gut,Vibrio owensii,F50,5,5,1,100.0,0,5
DOC28,Gut,Vibrio tubiashii,F0,5,4,0.8,80.0,0,4
DOC28,Gut,Vibrio tubiashii,F15,5,4,0.8,80.0,0,4
DOC28,Gut,Vibrio tubiashii,F25,5,3,0.6,60.0,0,3
DOC28,Gut,Vibrio tubiashii,F35,5,4,0.8,80.0,0,4
DOC28,Gut,Vibrio tubiashii,F50,5,4,0.8,80.0,0,4
DOC28,HP,Demequina globuliformis,F0,5,5,1,100.0,0,5
DOC28,HP,Demequina globuliformis,F15,5,3,0.6,60.0,0,3
DOC28,HP,Demequina globuliformis,F25,5,5,1,100.0,0,5
DOC28,HP,Demequina globuliformis,F35,5,5,1,100.0,0,5
DOC28,HP,Demequina globuliformis,F50,5,4,0.8,80.0,0,4
DOC28,HP,Mesoflavibacter zeaxanthinifaciens,F0,5,5,1,100.0,0,5
DOC28,HP,Mesoflavibacter zeaxanthinifaciens,F15,5,5,1,100.0,0,5
DOC28,HP,Mesoflavibacter zeaxanthinifaciens,F25,5,4,0.8,80.0,0,4
DOC28,HP,Mesoflavibacter zeaxanthinifaciens,F35,5,5,1,100.0,0,5
DOC28,HP,Mesoflavibacter zeaxanthinifaciens,F50,5,4,0.8,80.0,0,4
DOC28,HP,Tenacibaculum discolor,F0,5,0,0,0.0,0,0
DOC28,HP,Tenacibaculum discolor,F15,5,1,0.2,20.0,0,1
DOC28,HP,Tenacibaculum discolor,F25,5,3,0.6,60.0,0,3
DOC28,HP,Tenacibaculum discolor,F35,5,2,0.4,40.0,0,2
DOC28,HP,Tenacibaculum discolor,F50,5,0,0,0.0,0,0
DOC28,HP,Tenacibaculum pelagium,F0,5,3,0.6,60.0,0,3
DOC28,HP,Tenacibaculum pelagium,F15,5,2,0.4,40.0,0,2
DOC28,HP,Tenacibaculum pelagium,F25,5,1,0.2,20.0,0,1
DOC28,HP,Tenacibaculum pelagium,F35,5,5,1,100.0,0,5
DOC28,HP,Tenacibaculum pelagium,F50,5,2,0.4,40.0,0,2
DOC28,HP,Bacillus altitudinis,F0,5,3,0.6,60.0,0,3
DOC28,HP,Bacillus altitudinis,F15,5,4,0.8,80.0,0,4
DOC28,HP,Bacillus altitudinis,F25,5,5,1,100.0,0,5
DOC28,HP,Bacillus altitudinis,F35,5,5,1,100.0,0,5
DOC28,HP,Bacillus altitudinis,F50,5,4,0.8,80.0,0,4
DOC28,HP,Litorilituus sediminis,F0,5,0,0,0.0,0,0
DOC28,HP,Litorilituus sediminis,F15,5,4,0.8,80.0,0,4
DOC28,HP,Litorilituus sediminis,F25,5,4,0.8,80.0,0,4
DOC28,HP,Litorilituus sediminis,F35,5,4,0.8,80.0,0,4
DOC28,HP,Litorilituus sediminis,F50,5,2,0.4,40.0,0,2
DOC28,HP,Paracoccus homiensis,F0,5,2,0.4,40.0,0,2
DOC28,HP,Paracoccus homiensis,F15,5,2,0.4,40.0,0,2
DOC28,HP,Paracoccus homiensis,F25,5,5,1,100.0,0,5
DOC28,HP,Paracoccus homiensis,F35,5,4,0.8,80.0,0,4
DOC28,HP,Paracoccus homiensis,F50,5,5,1,100.0,0,5
DOC28,HP,Photobacterium damselae,F0,5,4,0.8,80.0,0,4
DOC28,HP,Photobacterium damselae,F15,5,4,0.8,80.0,0,4
DOC28,HP,Photobacterium damselae,F25,5,2,0.4,40.0,0,2
DOC28,HP,Photobacterium damselae,F35,5,2,0.4,40.0,0,2
DOC28,HP,Photobacterium damselae,F50,5,2,0.4,40.0,0,2
DOC28,HP,Pseudoalteromonas piratica,F0,5,5,1,100.0,0,5
DOC28,HP,Pseudoalteromonas piratica,F15,5,4,0.8,80.0,0,4
DOC28,HP,Pseudoalteromonas piratica,F25,5,5,1,100.0,0,5
DOC28,HP,Pseudoalteromonas piratica,F35,5,5,1,100.0,0,5
DOC28,HP,Pseudoalteromonas piratica,F50,5,5,1,100.0,0,5
DOC28,HP,Ruegeria profundi,F0,5,5,1,100.0,0,5
DOC28,HP,Ruegeria profundi,F15,5,4,0.8,80.0,0,4
DOC28,HP,Ruegeria profundi,F25,5,5,1,100.0,0,5
DOC28,HP,Ruegeria profundi,F35,5,4,0.8,80.0,0,4
